Model,Mode,Context,Cross Learning,MASE,MAE,RMSE,Inference Time (s)
Chronos-2,multivariate,1024,False,1.6350913047790527,0.6665210127830505,0.8860266248758336,2.1822170029990957
Chronos-2,multivariate,8192,False,1.920440435409546,0.9172992706298828,1.1497068591301207,16.086187385000812
Chronos-2,multivariate,512,False,2.1763157844543457,0.8457733988761902,1.087533998506021,1.1945288030001393
Chronos-2,multivariate,2048,False,2.2607738971710205,0.9971890449523926,1.2121497208681695,4.169487202001619
